time,total,sunny,rain,on_off_rain,cloudy,thunderstorm,monday,tuesday,wednesday,thursday,friday,saturday,sunday
14:53:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:54:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:55:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:56:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:57:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:58:00,10,6,0,2,2,0,1,1,2,2,1,2,1
14:59:00,10,6,0,2,2,0,1,1,2,2,1,2,1
15:00:00,10,6,0,2,2,0,1,1,2,2,1,2,1
15:01:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:02:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:03:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:04:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:05:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:06:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:07:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:08:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:09:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:10:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:11:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:12:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:13:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:14:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:15:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:16:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:17:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:18:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:19:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:20:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:21:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:22:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:23:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:24:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:25:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:26:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:27:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:28:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:29:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:30:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:31:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:32:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:33:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:34:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:35:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:36:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:37:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:38:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:39:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:40:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:41:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:42:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:43:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:44:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:45:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:46:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:47:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:48:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:49:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:50:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:51:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:52:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:53:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:54:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:55:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:56:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:57:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:58:00,9,5,0,2,2,0,1,1,2,1,1,2,1
15:59:00,9,5,0,2,2,0,1,1,2,1,1,2,1
16:00:00,11,6,0,2,3,0,1,2,2,1,2,2,1
16:01:00,7,4,0,2,1,0,0,1,1,1,2,1,1
16:02:00,7,4,0,2,1,0,0,1,1,1,2,1,1
16:03:00,7,4,0,2,1,0,0,1,1,1,2,1,1
16:04:00,7,4,0,2,1,0,0,1,1,1,2,1,1
16:05:00,7,4,0,2,1,0,0,1,1,1,2,1,1
16:06:00,7,4,0,2,1,0,0,1,1,1,2,1,1
16:07:00,7,4,0,2,1,0,0,1,1,1,2,1,1
16:08:00,7,4,0,2,1,0,0,1,1,1,2,1,1
16:09:00,7,4,0,2,1,0,0,1,1,1,2,1,1
16:10:00,7,4,0,2,1,0,0,1,1,1,2,1,1
